FlightDate,FlightTime,Airport,FlightRange,BagNumber,MaxSpendingRange,DropOffRange
1989-05-26,09:10:21,ONT,30.0,0.9,69,1.2
1992-02-16,13:16:30,LAX,37.5,0.0,98,0.4
2020-11-29,12:21:35,ONT,20.0,1.6,84,0.2
2014-01-04,12:48:17,ONT,12.5,0.7,75,0.7
2008-08-27,17:23:25,LAX,22.5,0.7,87,1.3
1994-02-13,03:23:56,ONT,37.5,1.1,86,0.9
1978-06-18,05:01:07,LAX,7.5,0.7,70,0.7
2008-07-29,05:27:47,LAX,2.5,1.6,88,0.0
2025-02-19,01:14:33,LAX,20.0,0.7,89,1.4
1995-07-27,05:59:55,LAX,30.0,0.2,81,1.2
1996-09-23,08:56:06,ONT,37.5,0.2,91,0.1
2017-06-26,22:38:39,ONT,47.5,1.5,70,1.3
2016-03-22,18:20:43,LAX,47.5,0.4,90,0.0
1988-05-20,18:28:07,ONT,30.0,1.6,33,1.1
1992-11-06,17:00:29,ONT,5.0,0.8,78,1.2
2020-07-25,09:57:23,ONT,7.5,1.7,84,1.9
2023-03-10,11:26:07,ONT,47.5,1.0,70,1.6
1975-06-13,09:46:01,LAX,45.0,1.7,70,0.0
1971-06-19,01:59:31,LAX,50.0,0.5,21,0.3
2004-07-05,01:16:44,LAX,35.0,0.5,65,1.9
1979-04-22,10:55:53,LAX,22.5,1.3,34,1.7
2021-08-03,01:44:35,ONT,50.0,0.9,68,0.8
2002-11-14,17:50:10,LAX,32.5,1.1,22,1.7
1973-07-19,06:34:07,ONT,42.5,0.7,93,0.4
1974-06-27,00:01:21,LAX,45.0,0.6,77,0.1
2020-03-18,04:54:52,LAX,12.5,0.2,81,1.7
1987-05-08,02:10:50,ONT,15.0,1.6,61,0.4
1979-02-24,15:45:20,ONT,45.0,1.3,21,0.5
2020-09-28,11:11:10,ONT,32.5,1.6,87,1.8
1974-01-17,20:50:54,ONT,45.0,1.5,55,0.1
2017-11-10,15:14:59,LAX,30.0,1.5,78,0.4
1998-04-07,15:31:19,ONT,32.5,0.1,62,0.0
2020-02-13,14:23:46,ONT,15.0,0.5,66,0.8
2025-02-18,06:35:46,LAX,12.5,0.2,76,1.6
2014-01-05,05:09:24,LAX,42.5,1.9,60,1.6
2018-05-01,11:06:32,ONT,10.0,0.7,71,0.5
1976-01-15,23:32:52,LAX,10.0,1.4,22,1.3
2008-09-12,09:51:55,LAX,25.0,0.3,76,0.7
2010-01-15,16:59:39,ONT,22.5,1.2,80,1.5
1997-07-07,03:43:04,LAX,32.5,0.8,68,1.4
2007-07-04,17:49:00,LAX,15.0,0.5,65,1.0
1975-08-22,20:29:23,LAX,20.0,1.3,60,2.0
1973-10-23,09:10:23,LAX,30.0,0.4,26,1.7
2006-01-16,10:24:02,ONT,25.0,1.9,61,0.2
2011-11-09,02:08:41,ONT,37.5,1.1,44,0.4
2022-03-24,18:57:50,ONT,7.5,1.9,40,0.7
1993-07-24,13:47:30,LAX,20.0,0.1,20,1.6
1983-02-27,04:53:56,LAX,45.0,1.7,99,1.4
1973-05-20,18:35:01,LAX,22.5,0.7,43,0.7
1976-02-20,20:50:17,ONT,30.0,0.0,70,0.0
1992-09-16,15:27:31,LAX,27.5,0.8,27,0.3
2002-05-04,05:16:10,LAX,10.0,0.3,85,1.7
2018-03-31,07:12:15,ONT,2.5,0.1,70,0.5
2005-09-25,17:16:50,ONT,5.0,1.3,29,0.6
1998-01-06,01:04:40,LAX,45.0,0.4,72,0.6
2021-01-10,15:53:11,ONT,17.5,0.7,71,0.0
2015-07-08,16:36:22,ONT,25.0,1.9,74,1.9
1983-09-18,05:44:51,LAX,27.5,1.0,92,0.5
1991-11-13,16:25:53,LAX,40.0,0.2,98,0.0
1989-04-16,16:28:13,ONT,25.0,0.4,24,1.9
1994-12-13,16:39:09,ONT,42.5,0.6,45,1.1
1991-09-07,22:29:51,ONT,15.0,0.5,38,0.6
2003-02-09,22:19:50,LAX,32.5,0.7,95,2.0
1981-02-23,12:48:50,ONT,20.0,0.8,54,1.6
2019-03-17,13:56:49,LAX,12.5,0.2,45,2.0
2024-09-01,20:31:06,LAX,25.0,1.9,24,0.1
2009-07-11,09:52:02,ONT,17.5,0.8,84,2.0
1997-08-05,04:21:39,ONT,15.0,1.4,99,0.1
1974-06-04,11:53:11,LAX,35.0,0.8,58,0.4
2012-07-24,20:43:46,ONT,20.0,0.1,70,1.0
2021-05-09,23:35:57,LAX,30.0,0.7,62,2.0
2001-06-03,13:29:00,ONT,47.5,1.6,100,0.6
2006-06-18,15:12:08,ONT,5.0,1.3,84,1.9
1992-01-14,03:17:24,LAX,7.5,0.9,54,1.5
1995-07-06,08:24:55,LAX,50.0,0.6,73,0.0
1994-05-31,12:01:13,ONT,25.0,0.0,85,0.2
2021-01-04,23:06:25,LAX,5.0,0.6,68,0.1
2018-06-04,11:51:32,LAX,2.5,1.2,76,1.5
1975-04-24,21:51:24,LAX,15.0,0.7,75,0.0
1995-04-22,00:59:11,LAX,12.5,0.8,61,0.0
2007-07-26,11:59:07,LAX,30.0,1.5,61,0.4
2012-09-24,23:46:36,LAX,47.5,1.9,46,1.1
1974-10-07,03:07:42,ONT,42.5,0.8,99,0.0
1984-01-17,14:00:31,ONT,5.0,1.5,85,1.1
1972-11-01,15:48:39,ONT,25.0,0.9,76,0.7
1982-04-30,02:35:38,LAX,12.5,0.8,59,1.7
1991-09-17,01:49:13,ONT,15.0,1.4,33,0.9
1981-05-30,00:12:20,ONT,42.5,1.0,60,0.9
1993-12-05,17:43:38,LAX,40.0,0.6,60,1.5
1998-09-08,22:16:31,ONT,20.0,0.4,69,0.7
2015-01-30,07:16:06,LAX,20.0,0.3,97,1.4
2009-07-21,19:57:27,ONT,47.5,0.7,83,1.2
2014-01-26,14:34:48,ONT,47.5,1.3,55,0.7
1975-09-02,13:00:08,ONT,7.5,1.7,63,1.6
2019-09-08,15:40:48,LAX,12.5,0.1,29,1.4
1982-08-10,20:43:35,LAX,20.0,0.4,75,2.0
2008-02-17,13:10:16,ONT,12.5,0.5,62,0.4
1990-12-07,11:09:05,LAX,7.5,0.9,67,1.9
2011-09-10,15:55:33,LAX,22.5,1.1,92,1.0
2021-02-28,14:52:39,ONT,22.5,0.6,95,1.2
2002-12-20,21:54:52,LAX,27.5,0.8,52,1.0
1996-07-20,17:11:27,ONT,17.5,1.4,93,0.3
1988-11-01,06:37:15,ONT,25.0,0.3,20,0.2
1997-08-17,01:53:54,ONT,45.0,1.8,100,0.6
2016-10-02,01:40:19,LAX,25.0,0.5,21,2.0
1977-07-31,17:47:16,ONT,47.5,0.4,79,2.0
2006-04-27,02:52:01,LAX,37.5,0.0,64,0.4
1979-12-29,15:21:51,LAX,35.0,0.6,29,0.5
1981-02-13,03:24:51,LAX,42.5,1.9,98,2.0
2005-01-18,22:03:29,ONT,27.5,1.9,44,0.3
1999-07-13,17:37:12,LAX,20.0,1.7,76,0.8
1975-04-07,07:14:35,ONT,22.5,0.7,24,1.7
1988-01-09,09:52:18,ONT,15.0,1.7,73,1.1
1981-10-21,10:09:40,ONT,35.0,0.4,85,0.0
1971-01-19,14:15:06,LAX,35.0,1.2,70,1.2
1989-07-16,09:12:16,LAX,17.5,1.5,73,0.5
2010-01-05,11:13:26,LAX,5.0,1.0,61,1.5
2009-09-17,02:54:02,ONT,50.0,0.9,32,1.1
1993-03-11,07:08:17,LAX,35.0,1.6,99,0.6
1978-10-23,11:21:31,LAX,32.5,0.4,94,1.6
2008-12-18,05:39:39,LAX,45.0,1.6,52,0.4
2003-10-31,23:45:37,ONT,42.5,0.6,68,0.4
1988-02-22,16:22:10,ONT,17.5,0.0,77,0.5
1976-07-21,15:07:27,LAX,7.5,1.2,80,0.4
1970-05-02,22:16:36,LAX,42.5,0.0,61,1.9
1995-06-16,04:18:30,LAX,17.5,0.8,62,1.9
1975-02-25,01:44:49,LAX,37.5,0.4,31,0.5
2021-05-18,05:17:31,LAX,7.5,0.4,95,1.0
2016-09-12,05:12:40,LAX,47.5,0.4,83,0.0
1977-03-30,03:58:05,ONT,2.5,1.2,69,2.0
1977-11-03,10:15:48,ONT,45.0,1.9,45,1.6
2021-03-04,15:24:36,LAX,32.5,0.4,98,1.2
2022-04-20,04:08:45,ONT,12.5,1.0,90,1.7
1977-01-19,06:45:16,ONT,35.0,0.7,61,1.6
2002-01-15,15:07:25,LAX,37.5,1.8,52,1.3
2022-04-14,11:08:27,LAX,50.0,0.7,79,2.0
1977-01-06,10:05:56,LAX,30.0,1.9,28,1.2
1985-05-09,23:01:08,LAX,35.0,0.7,60,0.1
1993-01-15,09:00:36,LAX,27.5,0.6,98,1.7
1978-07-10,14:10:55,LAX,20.0,1.4,78,1.1
1983-01-30,07:52:50,ONT,27.5,1.4,98,0.2
2002-12-14,07:28:03,ONT,22.5,1.9,88,1.6
1992-12-17,21:45:12,LAX,47.5,0.9,34,1.7
1998-11-28,12:58:56,ONT,47.5,0.1,20,0.6
2016-02-04,13:34:32,LAX,12.5,1.9,90,0.7
1988-12-23,08:33:42,LAX,7.5,0.0,100,0.9
1976-03-07,21:34:56,ONT,45.0,1.9,98,0.3
1972-11-02,03:30:49,LAX,35.0,1.7,79,0.5
2006-05-28,09:57:55,ONT,50.0,0.3,84,0.3
1975-03-25,00:41:22,LAX,5.0,0.0,67,0.8
1976-12-28,23:08:33,LAX,2.5,1.5,77,0.4
1973-10-26,04:24:55,LAX,25.0,0.8,81,1.5
1992-05-15,06:15:10,ONT,35.0,0.5,55,0.8
2001-08-30,22:38:44,ONT,25.0,0.8,95,1.4
2017-12-04,20:16:27,ONT,12.5,1.1,85,1.8
2010-08-26,20:07:07,ONT,12.5,1.4,60,0.9
2002-05-20,22:17:49,ONT,20.0,1.3,83,1.5
2021-10-11,00:13:57,ONT,7.5,0.2,96,1.6
1998-09-05,21:31:12,LAX,40.0,1.8,61,0.1
2022-09-28,16:15:07,ONT,5.0,0.5,60,2.0
2000-08-02,00:22:45,LAX,45.0,0.1,31,0.5
1992-04-23,03:47:58,ONT,37.5,0.8,95,0.4
1981-08-03,14:02:43,LAX,42.5,1.7,20,1.4
2019-06-16,04:28:51,LAX,22.5,0.7,33,1.1
1996-12-10,06:51:47,LAX,47.5,0.3,62,1.4
1981-10-28,02:58:35,LAX,5.0,1.5,88,1.2
1984-08-17,12:24:38,LAX,45.0,0.3,78,1.7
2010-09-28,05:40:37,LAX,47.5,0.9,75,0.3
1977-10-25,10:28:02,ONT,2.5,0.2,51,0.0
2004-06-09,06:05:33,ONT,27.5,0.2,97,0.3
2015-11-07,13:28:27,LAX,37.5,0.7,49,1.5
2010-07-14,17:48:26,LAX,20.0,1.7,92,1.4
2001-07-22,14:31:03,LAX,5.0,1.6,75,1.1
1983-11-07,14:10:44,ONT,12.5,0.3,78,0.5
1996-04-10,12:24:28,LAX,40.0,0.7,74,1.6
2020-12-01,08:20:25,LAX,22.5,0.8,32,1.1
1970-09-05,01:27:28,ONT,35.0,1.2,72,1.0
2004-07-22,17:09:33,LAX,42.5,1.5,81,1.2
1994-09-02,11:43:30,ONT,50.0,1.3,68,0.8
1984-01-06,13:32:41,ONT,27.5,1.9,61,1.3
1991-04-15,22:12:02,LAX,10.0,0.0,66,0.3
1981-04-18,04:01:19,ONT,37.5,0.6,40,1.4
2003-12-04,02:22:54,ONT,40.0,0.6,85,1.2
1978-05-08,10:37:48,LAX,50.0,0.0,65,1.8
2000-04-08,05:22:59,LAX,50.0,1.4,94,1.5
1970-05-02,22:09:44,ONT,37.5,0.1,89,1.0
2017-08-28,04:25:33,LAX,45.0,0.0,74,0.0
1982-12-24,07:18:15,LAX,25.0,0.1,69,0.1
1991-07-14,23:47:48,ONT,15.0,1.4,22,0.2
1996-01-22,08:58:04,ONT,25.0,1.4,40,1.9
1989-03-31,17:30:35,ONT,35.0,0.4,82,0.7
1992-10-16,10:27:10,LAX,2.5,0.3,39,1.1
2008-07-18,20:56:45,LAX,20.0,0.1,44,0.3
2002-11-12,23:34:00,ONT,32.5,1.3,61,1.1
1996-10-08,13:04:32,ONT,45.0,0.7,76,0.3
1999-11-18,11:42:29,ONT,35.0,1.9,95,0.5
2018-07-01,15:25:04,LAX,15.0,1.2,51,0.9
2007-09-18,23:54:37,ONT,10.0,0.3,42,1.6
2005-07-13,07:52:12,LAX,17.5,0.3,93,0.4
1985-03-23,02:32:53,ONT,47.5,0.3,88,0.3
1985-06-27,14:40:02,ONT,5.0,0.3,68,0.7
2021-06-29,15:37:00,ONT,45.0,1.8,51,1.1
2015-11-21,13:57:04,ONT,7.5,0.6,29,2.0
1997-03-23,21:36:14,ONT,47.5,1.6,69,0.5
1979-04-25,11:05:54,ONT,15.0,0.8,64,1.7
1979-03-02,09:09:39,ONT,45.0,0.9,60,1.3
2013-07-06,10:48:42,LAX,42.5,1.3,70,0.6
1992-10-25,01:18:53,ONT,42.5,1.9,70,0.9
2001-10-23,00:44:16,ONT,7.5,1.4,92,2.0
1981-11-11,01:39:37,ONT,32.5,0.9,50,0.7
1993-08-28,23:57:22,ONT,35.0,1.7,96,0.5
2005-08-08,19:11:45,LAX,17.5,1.4,75,0.3
2014-12-14,15:54:24,ONT,35.0,1.3,72,0.5
1992-08-25,22:41:13,LAX,20.0,1.2,97,1.1
2012-06-18,04:53:36,ONT,30.0,0.0,65,0.6
1994-12-17,01:51:47,LAX,12.5,0.5,99,1.7
2009-01-20,17:13:42,LAX,5.0,1.4,42,1.1
1986-07-11,02:32:55,LAX,25.0,1.3,83,1.8
2006-02-13,10:36:37,LAX,20.0,1.0,95,0.0
2008-03-09,19:56:56,ONT,15.0,1.4,63,0.6
1980-12-25,03:14:16,ONT,42.5,1.0,75,0.6
1990-02-05,00:40:45,LAX,15.0,0.6,37,1.2
2000-06-29,00:11:04,ONT,32.5,0.6,23,0.3
2001-01-20,20:26:04,LAX,5.0,1.7,85,1.3
2003-05-02,07:33:23,ONT,15.0,1.6,48,0.8
1981-04-21,16:07:26,LAX,7.5,1.7,69,1.5
1972-10-25,06:34:06,LAX,17.5,1.9,97,0.2
1994-07-19,07:01:28,LAX,5.0,0.6,41,0.3
1989-05-28,01:47:45,LAX,30.0,1.3,38,1.2
2003-10-29,17:25:05,ONT,27.5,1.1,85,0.8
2010-10-22,14:01:53,LAX,10.0,0.8,76,0.1
2011-09-24,16:33:30,LAX,17.5,0.6,62,0.5
1981-02-06,00:18:19,LAX,25.0,0.3,36,0.6
1995-01-26,02:14:45,ONT,40.0,0.7,87,0.6
1983-02-28,17:30:52,ONT,20.0,0.1,92,1.0
2023-07-26,13:46:37,LAX,22.5,1.7,67,0.2
1990-05-28,17:40:29,LAX,32.5,1.9,82,0.9
2017-09-10,08:04:43,LAX,40.0,1.9,89,1.2
2011-03-26,23:30:41,ONT,5.0,0.2,49,1.8
2010-06-15,10:57:00,ONT,5.0,1.4,85,1.7
2024-11-13,20:58:56,LAX,5.0,1.7,43,1.0
1993-09-10,00:48:17,ONT,45.0,1.4,95,1.1
1988-12-31,08:45:49,LAX,17.5,0.1,22,0.7
2009-09-26,15:44:40,ONT,22.5,1.4,37,1.8
2007-05-06,15:38:22,LAX,27.5,1.2,26,1.3
1999-11-29,21:03:26,ONT,35.0,1.0,93,0.4
1989-05-21,07:51:28,ONT,50.0,0.7,71,0.9
2017-08-08,23:21:23,LAX,50.0,0.1,23,1.5
1988-11-27,04:59:33,LAX,37.5,0.3,51,1.6
2014-10-13,17:16:07,ONT,20.0,1.0,66,1.5
2013-06-30,11:02:48,LAX,37.5,0.5,63,0.1
2009-12-04,06:40:11,ONT,35.0,0.4,91,1.1
1999-09-18,11:31:41,LAX,30.0,0.2,26,0.6
1999-09-26,17:56:09,ONT,47.5,1.8,69,0.1
1988-10-03,10:46:47,ONT,47.5,1.0,69,0.0
2011-06-25,05:58:38,ONT,37.5,1.2,91,0.2
1999-07-24,12:31:24,ONT,5.0,0.5,95,1.1
