FlightDate,FlightTime,Airport,MinWaitTime,MaxWaitTime,BagNumber,MaxSpendingRange,DropOffRange,FlightDateTime,ElapsedTime
2025-01-19,11:28:30,ONT,0.25,2.0,0.2,0.2222222222222222,0.8,2025-01-19 11:28:00,448522
2025-01-19,18:56:56,LAX,0.5,2.5,0.2,0.0,0.9,2025-01-19 18:56:00,448970
2024-03-18,05:55:40,ONT,0.5,4.25,0.8,0.2222222222222222,0.6,2024-03-18 05:55:00,6109
2024-12-12,09:39:59,LAX,1.75,4.5,0.6000000000000001,0.2222222222222222,0.2,2024-12-12 09:39:00,393693
2024-12-13,02:00:42,ONT,1.0,4.5,0.8,0.0555555555555555,0.1,2024-12-13 02:00:00,394674
2024-12-11,06:08:34,ONT,0.75,4.5,0.2,0.1666666666666666,0.1,2024-12-11 06:08:00,392042
2024-03-22,20:13:40,LAX,0.25,3.75,0.2,0.2222222222222222,0.2,2024-03-22 20:13:00,12727
2024-03-14,10:38:26,LAX,1.0,4.0,0.4,0.1111111111111111,0.9,2024-03-14 10:38:00,632
2024-12-12,10:37:53,LAX,1.5,3.0,0.4,0.3333333333333333,0.6,2024-12-12 10:37:00,393751
2024-12-11,12:06:05,LAX,1.25,4.5,0.6000000000000001,0.0555555555555555,0.8,2024-12-11 12:06:00,392400
2024-12-13,15:18:52,LAX,0.5,4.75,0.4,0.1111111111111111,0.0,2024-12-13 15:18:00,395472
2024-12-13,11:16:42,LAX,1.5,2.75,0.6000000000000001,0.3333333333333333,0.1,2024-12-13 11:16:00,395230
2024-12-13,04:36:25,ONT,1.25,2.0,0.4,0.1666666666666666,0.4,2024-12-13 04:36:00,394830
2024-12-11,23:38:44,LAX,0.25,3.25,0.4,0.8888888888888888,0.5,2024-12-11 23:38:00,393092
2024-03-15,08:44:01,LAX,2.0,4.0,0.6000000000000001,0.2222222222222222,0.6,2024-03-15 08:44:00,1958
2024-03-22,18:14:29,LAX,0.5,4.75,0.6000000000000001,0.7777777777777778,0.0,2024-03-22 18:14:00,12608
2024-12-13,03:14:55,ONT,0.75,3.5,0.4,0.1111111111111111,0.4,2024-12-13 03:14:00,394748
2024-03-20,20:31:42,LAX,1.5,2.75,0.2,0.2777777777777778,0.2,2024-03-20 20:31:00,9865
2025-01-18,04:13:07,ONT,1.75,4.25,0.6000000000000001,0.0555555555555555,1.0,2025-01-18 04:13:00,446647
2024-11-30,23:05:40,LAX,1.75,2.0,0.2,0.1111111111111111,0.8,2024-11-30 23:05:00,377219
2024-11-30,07:24:32,LAX,1.25,2.5,0.2,0.3888888888888889,0.2,2024-11-30 07:24:00,376278
2024-12-12,20:47:03,LAX,2.0,2.75,0.8,0.1666666666666666,0.2,2024-12-12 20:47:00,394361
2024-11-30,20:21:46,ONT,1.0,2.75,0.4,0.0555555555555555,0.8,2024-11-30 20:21:00,377055
2024-12-12,02:19:45,ONT,1.25,2.25,0.4,0.5555555555555556,0.5,2024-12-12 02:19:00,393253
2025-01-19,11:55:02,ONT,1.5,2.0,0.2,0.1111111111111111,0.1,2025-01-19 11:55:00,448549
2024-12-11,17:42:37,ONT,0.25,2.25,0.8,0.1111111111111111,0.4,2024-12-11 17:42:00,392736
2024-12-13,17:35:45,ONT,0.5,3.5,0.4,0.5,0.3,2024-12-13 17:35:00,395609
2025-01-18,15:53:11,LAX,1.75,2.0,0.4,0.3333333333333333,0.1,2025-01-18 15:53:00,447347
2024-12-13,06:52:20,ONT,1.75,2.25,0.6000000000000001,0.611111111111111,0.7,2024-12-13 06:52:00,394966
2024-12-13,19:04:08,LAX,1.25,4.0,0.4,0.1666666666666666,0.8,2024-12-13 19:04:00,395698
2024-11-30,10:37:12,ONT,1.25,4.0,0.2,0.1666666666666666,0.2,2024-11-30 10:37:00,376471
2024-12-11,09:40:17,LAX,1.25,3.5,0.2,0.0,0.2,2024-12-11 09:40:00,392254
2024-12-12,06:32:48,ONT,1.0,3.5,0.6000000000000001,0.8333333333333334,0.9,2024-12-12 06:32:00,393506
2024-11-30,10:37:39,ONT,2.0,3.75,0.2,0.2222222222222222,0.8,2024-11-30 10:37:00,376471
2024-12-12,20:52:44,LAX,0.5,3.0,0.0,0.2777777777777778,0.4,2024-12-12 20:52:00,394366
2025-01-19,00:52:32,LAX,1.0,4.5,0.4,0.3333333333333333,1.0,2025-01-19 00:52:00,447886
2024-03-19,13:48:59,LAX,0.25,2.0,0.6000000000000001,0.1666666666666666,0.8,2024-03-19 13:48:00,8022
2024-11-30,08:56:14,ONT,1.75,4.5,0.4,0.2777777777777778,0.3,2024-11-30 08:56:00,376370
2024-03-14,11:49:05,ONT,1.75,2.75,0.6000000000000001,0.2777777777777778,0.5,2024-03-14 11:49:00,703
2024-11-30,18:12:09,LAX,1.75,2.75,0.6000000000000001,0.2777777777777778,0.8,2024-11-30 18:12:00,376926
2024-11-30,13:01:31,LAX,1.0,2.25,0.2,0.3333333333333333,0.3,2024-11-30 13:01:00,376615
2024-11-30,09:05:46,ONT,2.0,4.25,0.6000000000000001,0.7777777777777778,1.0,2024-11-30 09:05:00,376379
2024-12-13,18:33:33,ONT,0.75,4.75,0.2,0.7222222222222222,0.1,2024-12-13 18:33:00,395667
2025-01-18,10:04:24,LAX,1.25,5.0,0.6000000000000001,0.7222222222222222,0.5,2025-01-18 10:04:00,446998
2024-12-11,12:47:15,ONT,2.0,2.25,0.6000000000000001,0.0555555555555555,0.3,2024-12-11 12:47:00,392441
2025-01-18,17:34:17,ONT,1.5,4.0,0.4,0.0555555555555555,0.7,2025-01-18 17:34:00,447448
2024-11-30,19:38:09,ONT,0.75,4.75,0.4,0.1666666666666666,0.2,2024-11-30 19:38:00,377012
2024-11-30,19:43:11,ONT,2.0,3.5,0.4,0.3333333333333333,0.7,2024-11-30 19:43:00,377017
2024-03-18,15:56:31,ONT,0.25,5.0,0.0,0.1666666666666666,0.7,2024-03-18 15:56:00,6710
2024-11-30,02:31:25,ONT,1.25,5.0,0.4,0.3333333333333333,0.1,2024-11-30 02:31:00,375985
2024-03-18,02:29:28,LAX,2.0,2.75,0.6000000000000001,0.1666666666666666,0.6,2024-03-18 02:29:00,5903
2025-01-19,06:41:17,ONT,1.5,4.5,0.2,0.1666666666666666,0.6,2025-01-19 06:41:00,448235
2024-03-22,17:22:47,ONT,0.75,4.25,0.2,0.1666666666666666,0.0,2024-03-22 17:22:00,12556
2024-03-15,12:52:07,LAX,1.75,2.5,0.4,0.4444444444444445,1.0,2024-03-15 12:52:00,2206
2024-12-13,09:53:07,ONT,1.75,3.25,0.6000000000000001,0.1111111111111111,0.6,2024-12-13 09:53:00,395147
2024-12-11,23:55:44,ONT,1.25,5.0,0.6000000000000001,0.6666666666666666,0.1,2024-12-11 23:55:00,393109
2024-12-12,08:24:30,LAX,2.0,2.0,0.4,0.0,0.3,2024-12-12 08:24:00,393618
2024-03-19,14:52:43,LAX,0.5,5.0,0.4,0.3333333333333333,0.2,2024-03-19 14:52:00,8086
2025-01-19,23:21:03,LAX,1.0,2.0,0.2,0.0555555555555555,0.4,2025-01-19 23:21:00,449235
2024-12-12,12:02:37,ONT,0.5,4.25,0.8,0.7222222222222222,0.1,2024-12-12 12:02:00,393836
2024-03-15,09:06:52,ONT,0.75,4.25,0.6000000000000001,0.2777777777777778,0.8,2024-03-15 09:06:00,1980
2024-11-30,19:24:04,LAX,1.25,2.25,0.6000000000000001,0.1111111111111111,1.0,2024-11-30 19:24:00,376998
2025-01-18,16:26:25,ONT,1.0,2.25,0.4,0.3333333333333333,0.1,2025-01-18 16:26:00,447380
2024-03-19,05:29:03,LAX,1.25,4.5,0.4,0.0,0.6,2024-03-19 05:29:00,7523
2024-12-13,21:50:58,ONT,1.75,4.5,0.2,0.2222222222222222,0.3,2024-12-13 21:50:00,395864
2024-11-30,10:16:17,LAX,1.75,3.75,0.6000000000000001,0.1111111111111111,0.0,2024-11-30 10:16:00,376450
2024-12-13,23:38:58,LAX,1.75,2.5,0.4,0.2777777777777778,0.0,2024-12-13 23:38:00,395972
2024-12-13,04:19:47,ONT,2.0,3.5,0.2,0.8333333333333334,0.4,2024-12-13 04:19:00,394813
2025-01-18,21:47:33,ONT,1.0,2.25,0.6000000000000001,0.1666666666666666,0.7,2025-01-18 21:47:00,447701
2024-12-13,03:13:41,ONT,1.75,3.25,0.6000000000000001,0.3333333333333333,0.8,2024-12-13 03:13:00,394747
2024-12-11,22:29:26,LAX,2.0,2.75,0.6000000000000001,0.1111111111111111,0.7,2024-12-11 22:29:00,393023
2024-03-16,14:38:35,ONT,1.25,4.0,0.2,0.0555555555555555,0.4,2024-03-16 14:38:00,3752
2024-11-30,02:36:21,LAX,1.75,3.75,0.4,0.0555555555555555,0.9,2024-11-30 02:36:00,375990
2025-01-18,07:04:01,ONT,2.0,5.0,0.4,0.1111111111111111,0.5,2025-01-18 07:04:00,446818
2024-11-30,09:56:02,ONT,1.0,3.0,0.4,0.1111111111111111,0.9,2024-11-30 09:56:00,376430
2024-11-30,17:59:12,ONT,1.75,4.75,0.2,0.1111111111111111,0.8,2024-11-30 17:59:00,376913
2025-01-18,16:54:35,ONT,1.25,3.0,0.8,0.2777777777777778,0.8,2025-01-18 16:54:00,447408
2025-01-19,04:14:00,ONT,0.5,4.75,0.6000000000000001,0.3333333333333333,0.1,2025-01-19 04:14:00,448088
2024-12-13,00:35:23,LAX,1.0,4.75,0.6000000000000001,0.2777777777777778,1.0,2024-12-13 00:35:00,394589
2024-12-11,08:37:16,LAX,1.0,3.0,0.6000000000000001,0.0555555555555555,0.6,2024-12-11 08:37:00,392191
2024-12-12,20:29:31,LAX,0.75,3.0,0.6000000000000001,0.0,0.3,2024-12-12 20:29:00,394343
2024-12-12,17:00:26,LAX,2.0,2.25,0.0,0.8333333333333334,0.0,2024-12-12 17:00:00,394134
2024-12-12,06:04:54,ONT,2.0,3.75,0.4,0.0,0.6,2024-12-12 06:04:00,393478
2024-03-20,09:57:51,ONT,0.5,2.25,0.4,0.0,0.9,2024-03-20 09:57:00,9231
2024-03-16,03:06:21,LAX,0.75,5.0,0.4,0.1111111111111111,0.4,2024-03-16 03:06:00,3060
2025-01-18,21:13:44,LAX,0.5,4.0,0.4,0.8333333333333334,0.5,2025-01-18 21:13:00,447667
2024-11-30,22:49:34,ONT,2.0,3.75,0.2,0.2222222222222222,0.6,2024-11-30 22:49:00,377203
2025-01-18,09:04:58,ONT,0.25,4.25,0.2,0.3888888888888889,1.0,2025-01-18 09:04:00,446938
2025-01-18,12:53:13,LAX,1.25,4.5,0.8,0.0555555555555555,0.5,2025-01-18 12:53:00,447167
2024-11-30,06:47:14,LAX,0.75,2.0,0.4,0.2777777777777778,0.7,2024-11-30 06:47:00,376241
2024-11-30,23:24:53,ONT,0.25,2.75,0.6000000000000001,0.1111111111111111,0.1,2024-11-30 23:24:00,377238
2025-01-19,14:12:39,LAX,1.0,3.0,0.0,0.8888888888888888,0.3,2025-01-19 14:12:00,448686
2024-12-13,15:52:44,ONT,0.5,4.0,0.2,0.0555555555555555,0.2,2024-12-13 15:52:00,395506
2024-12-13,17:19:46,LAX,0.5,2.0,0.2,0.1111111111111111,0.1,2024-12-13 17:19:00,395593
2024-11-30,19:39:08,ONT,0.5,3.75,0.0,0.2777777777777778,0.5,2024-11-30 19:39:00,377013
2024-11-30,13:54:41,ONT,2.0,3.75,0.6000000000000001,0.0,0.7,2024-11-30 13:54:00,376668
2024-03-21,13:52:08,ONT,1.25,2.0,0.4,0.2777777777777778,0.4,2024-03-21 13:52:00,10906
2024-11-30,10:39:52,ONT,0.25,5.0,0.4,0.7222222222222222,1.0,2024-11-30 10:39:00,376473
2024-11-30,02:22:45,ONT,0.75,4.25,0.2,0.3333333333333333,1.0,2024-11-30 02:22:00,375976
2024-03-15,19:46:15,LAX,2.0,3.25,0.4,0.1111111111111111,1.0,2024-03-15 19:46:00,2620
2024-11-30,09:26:44,LAX,1.5,3.5,0.4,0.1111111111111111,0.4,2024-11-30 09:26:00,376400
2024-03-15,06:02:20,LAX,2.0,2.25,0.6000000000000001,0.1111111111111111,0.8,2024-03-15 06:02:00,1796
2024-11-30,05:28:54,ONT,0.25,4.5,0.0,0.7222222222222222,0.4,2024-11-30 05:28:00,376162
2024-11-30,20:00:41,LAX,1.0,4.0,0.6000000000000001,0.3333333333333333,0.5,2024-11-30 20:00:00,377034
2024-12-13,08:31:47,ONT,0.25,2.75,0.4,0.0555555555555555,1.0,2024-12-13 08:31:00,395065
2025-01-19,15:39:36,ONT,2.0,2.25,0.2,0.2777777777777778,0.8,2025-01-19 15:39:00,448773
2024-03-15,05:24:33,LAX,1.25,4.0,0.6000000000000001,0.1666666666666666,0.0,2024-03-15 05:24:00,1758
2025-01-18,18:46:46,LAX,0.5,3.75,0.4,0.8888888888888888,0.6,2025-01-18 18:46:00,447520
2024-11-30,06:32:06,ONT,1.25,4.0,0.4,0.1666666666666666,0.0,2024-11-30 06:32:00,376226
2025-01-19,22:24:14,ONT,1.0,3.75,0.4,0.1666666666666666,0.2,2025-01-19 22:24:00,449178
2024-12-13,21:08:52,LAX,0.5,3.0,0.2,0.6666666666666666,0.2,2024-12-13 21:08:00,395822
2024-11-30,09:58:48,ONT,0.25,3.0,0.4,0.3333333333333333,0.8,2024-11-30 09:58:00,376432
2024-11-30,04:42:24,LAX,2.0,4.0,0.2,0.1111111111111111,0.0,2024-11-30 04:42:00,376116
2024-11-30,11:37:19,ONT,1.5,2.75,0.4,0.5,0.2,2024-11-30 11:37:00,376531
2024-11-30,02:03:29,LAX,1.75,2.0,0.4,0.1666666666666666,0.5,2024-11-30 02:03:00,375957
2024-12-12,16:12:49,ONT,0.75,3.75,0.4,0.4444444444444445,0.2,2024-12-12 16:12:00,394086
2024-03-17,11:05:57,LAX,2.0,2.25,0.6000000000000001,0.1666666666666666,0.0,2024-03-17 11:05:00,4979
2024-11-30,11:32:06,LAX,1.75,4.5,0.4,0.3888888888888889,0.0,2024-11-30 11:32:00,376526
2024-03-17,17:16:45,ONT,1.5,4.25,0.4,0.2777777777777778,1.0,2024-03-17 17:16:00,5350
2024-11-30,21:27:58,ONT,1.75,3.25,0.4,0.3333333333333333,0.1,2024-11-30 21:27:00,377121
2025-01-19,15:00:37,LAX,0.5,2.75,0.4,0.1111111111111111,0.8,2025-01-19 15:00:00,448734
2024-03-16,00:04:42,LAX,1.75,2.25,0.4,0.9444444444444444,0.2,2024-03-16 00:04:00,2878
2024-03-19,01:38:37,ONT,0.75,4.75,0.6000000000000001,0.0,0.2,2024-03-19 01:38:00,7292
2025-01-19,07:43:16,ONT,0.25,3.0,0.2,0.1666666666666666,0.2,2025-01-19 07:43:00,448297
2025-01-18,11:48:21,LAX,1.75,4.25,0.4,0.0555555555555555,0.6,2025-01-18 11:48:00,447102
2025-01-18,03:01:33,LAX,0.5,4.25,0.6000000000000001,0.8333333333333334,0.2,2025-01-18 03:01:00,446575
2024-11-30,14:52:48,ONT,0.75,2.75,0.2,0.1111111111111111,0.0,2024-11-30 14:52:00,376726
2025-01-19,19:22:25,ONT,0.25,5.0,0.4,0.1111111111111111,0.3,2025-01-19 19:22:00,448996
2024-11-30,19:04:43,LAX,2.0,3.25,0.8,0.5555555555555556,0.4,2024-11-30 19:04:00,376978
2024-11-30,22:12:56,ONT,2.0,3.0,0.2,0.1666666666666666,0.0,2024-11-30 22:12:00,377166
2024-12-11,11:05:28,LAX,1.0,3.5,0.4,0.2222222222222222,0.5,2024-12-11 11:05:00,392339
2024-03-18,02:45:46,ONT,0.25,4.5,0.6000000000000001,0.0,0.4,2024-03-18 02:45:00,5919
2024-12-12,12:20:38,ONT,1.25,5.0,0.2,0.8333333333333334,0.8,2024-12-12 12:20:00,393854
2025-01-19,00:21:44,LAX,1.0,4.25,0.6000000000000001,0.3333333333333333,0.8,2025-01-19 00:21:00,447855
2024-12-13,12:56:06,LAX,0.25,3.0,0.6000000000000001,0.3333333333333333,0.1,2024-12-13 12:56:00,395330
2025-01-19,04:51:14,LAX,0.5,3.0,0.4,0.1666666666666666,0.2,2025-01-19 04:51:00,448125
2024-12-11,20:36:54,LAX,0.75,5.0,0.0,0.1111111111111111,0.0,2024-12-11 20:36:00,392910
2024-12-12,02:03:24,LAX,1.25,3.75,0.6000000000000001,0.5555555555555556,0.6,2024-12-12 02:03:00,393237
2024-11-30,09:39:54,LAX,2.0,2.25,0.6000000000000001,0.0555555555555555,0.5,2024-11-30 09:39:00,376413
2024-03-15,02:01:21,ONT,0.5,5.0,0.6000000000000001,0.1111111111111111,0.8,2024-03-15 02:01:00,1555
2024-11-30,03:53:42,ONT,1.5,4.5,0.4,0.1111111111111111,0.9,2024-11-30 03:53:00,376067
2024-12-13,06:26:34,ONT,0.5,4.5,0.6000000000000001,0.0,0.0,2024-12-13 06:26:00,394940
2024-12-12,22:28:16,LAX,0.5,4.5,0.2,0.9444444444444444,0.0,2024-12-12 22:28:00,394462
2024-12-13,12:42:34,ONT,0.5,2.5,0.4,0.0,0.8,2024-12-13 12:42:00,395316
2025-01-18,18:34:19,ONT,0.5,2.25,0.2,0.2222222222222222,1.0,2025-01-18 18:34:00,447508
2024-11-30,17:12:42,ONT,2.0,3.25,0.2,0.2777777777777778,0.6,2024-11-30 17:12:00,376866
2024-11-30,09:58:27,LAX,1.75,4.5,0.6000000000000001,0.1666666666666666,0.5,2024-11-30 09:58:00,376432
2024-11-30,14:08:16,ONT,0.25,4.75,0.4,0.1666666666666666,1.0,2024-11-30 14:08:00,376682
2024-12-12,07:29:15,LAX,1.5,2.25,0.6000000000000001,0.611111111111111,0.4,2024-12-12 07:29:00,393563
2024-11-30,07:40:50,LAX,1.75,3.0,0.6000000000000001,0.0,1.0,2024-11-30 07:40:00,376294
2024-03-22,13:11:44,LAX,1.0,4.5,0.4,0.0,0.6,2024-03-22 13:11:00,12305
2024-03-15,05:04:27,ONT,1.0,2.5,0.6000000000000001,0.5,0.8,2024-03-15 05:04:00,1738
2024-03-22,16:58:07,LAX,1.0,2.75,0.2,0.0555555555555555,0.6,2024-03-22 16:58:00,12532
2025-01-18,16:56:55,ONT,0.75,2.5,0.6000000000000001,0.3333333333333333,1.0,2025-01-18 16:56:00,447410
2025-01-18,01:16:26,LAX,0.25,2.5,0.4,0.3333333333333333,0.9,2025-01-18 01:16:00,446470
2024-11-30,20:28:11,ONT,0.25,2.5,0.6000000000000001,0.0555555555555555,0.8,2024-11-30 20:28:00,377062
2024-03-16,22:16:04,LAX,0.5,3.75,0.2,0.1111111111111111,0.4,2024-03-16 22:16:00,4210
2024-12-12,19:07:01,ONT,1.0,4.25,0.6000000000000001,0.3333333333333333,0.9,2024-12-12 19:07:00,394261
2024-11-30,15:37:22,ONT,0.25,2.0,0.4,0.6666666666666666,0.5,2024-11-30 15:37:00,376771
2024-03-22,13:51:09,LAX,2.0,4.75,0.2,0.3888888888888889,0.7,2024-03-22 13:51:00,12345
2024-12-12,09:36:26,ONT,0.75,2.25,0.6000000000000001,0.2222222222222222,0.8,2024-12-12 09:36:00,393690
2024-03-21,14:30:28,ONT,1.25,3.75,0.8,0.1666666666666666,0.2,2024-03-21 14:30:00,10944
2024-11-30,04:14:19,LAX,1.0,3.5,0.4,0.0555555555555555,0.4,2024-11-30 04:14:00,376088
2024-12-12,03:35:09,ONT,2.0,3.5,0.6000000000000001,0.0,1.0,2024-12-12 03:35:00,393329
2024-11-30,10:14:56,ONT,1.5,4.5,0.4,0.0555555555555555,0.1,2024-11-30 10:14:00,376448
2024-12-11,05:30:35,LAX,0.5,2.25,0.2,0.0,0.4,2024-12-11 05:30:00,392004
2024-12-11,02:18:47,LAX,0.25,4.25,0.6000000000000001,0.7777777777777778,0.3,2024-12-11 02:18:00,391812
2024-11-30,13:52:01,LAX,1.75,3.25,0.6000000000000001,1.0,0.0,2024-11-30 13:52:00,376666
2025-01-18,10:19:30,LAX,1.25,4.25,0.4,0.0,0.9,2025-01-18 10:19:00,447013
2024-12-13,21:41:02,LAX,2.0,2.75,0.4,0.611111111111111,0.6,2024-12-13 21:41:00,395855
2024-03-16,14:01:36,LAX,1.25,4.25,0.2,0.1666666666666666,0.9,2024-03-16 14:01:00,3715
2024-12-12,10:13:05,ONT,0.25,2.5,0.4,0.3333333333333333,0.6,2024-12-12 10:13:00,393727
2024-11-30,09:50:44,ONT,1.5,2.0,0.2,0.0555555555555555,0.3,2024-11-30 09:50:00,376424
2024-03-15,17:51:40,LAX,0.75,4.75,0.2,0.0,0.0,2024-03-15 17:51:00,2505
2024-12-11,16:29:27,LAX,1.75,3.5,0.4,0.0555555555555555,0.6,2024-12-11 16:29:00,392663
2024-03-19,04:25:54,ONT,1.5,5.0,0.2,0.8333333333333334,0.8,2024-03-19 04:25:00,7459
2024-03-17,09:13:31,LAX,0.75,2.5,0.0,0.3333333333333333,0.8,2024-03-17 09:13:00,4867
2024-11-30,07:37:27,ONT,2.0,4.5,0.6000000000000001,0.2222222222222222,0.7,2024-11-30 07:37:00,376291
2024-12-13,08:30:30,ONT,1.25,2.75,0.4,0.3888888888888889,0.7,2024-12-13 08:30:00,395064
2024-11-30,11:36:09,ONT,0.5,3.0,0.2,0.2222222222222222,0.8,2024-11-30 11:36:00,376530
2024-03-21,15:37:40,ONT,0.25,2.75,0.4,0.2222222222222222,0.7,2024-03-21 15:37:00,11011
2025-01-19,10:21:01,LAX,1.0,3.0,0.6000000000000001,1.0,0.8,2025-01-19 10:21:00,448455
2024-11-30,15:44:59,ONT,1.25,3.25,0.6000000000000001,0.1666666666666666,0.7,2024-11-30 15:44:00,376778
2024-12-12,05:46:55,LAX,0.75,3.5,0.2,0.0555555555555555,0.7,2024-12-12 05:46:00,393460
2024-11-30,14:39:45,LAX,1.75,4.75,0.2,0.0,0.3,2024-11-30 14:39:00,376713
2024-11-30,22:00:20,LAX,1.5,4.25,0.4,0.1666666666666666,0.8,2024-11-30 22:00:00,377154
2025-01-18,02:13:31,ONT,0.5,3.5,0.8,0.1111111111111111,0.3,2025-01-18 02:13:00,446527
2025-01-18,08:52:10,ONT,1.5,2.25,0.4,0.0,0.1,2025-01-18 08:52:00,446926
2024-12-12,10:10:58,ONT,1.75,4.0,0.6000000000000001,0.3333333333333333,0.4,2024-12-12 10:10:00,393724
2024-03-14,07:20:35,ONT,1.0,3.25,0.4,0.3888888888888889,0.8,2024-03-14 07:20:00,434
2025-01-18,09:27:05,LAX,1.5,3.25,0.6000000000000001,0.3333333333333333,0.2,2025-01-18 09:27:00,446961
2025-01-18,10:00:08,LAX,0.5,2.5,0.4,0.0555555555555555,0.2,2025-01-18 10:00:00,446994
2024-11-30,02:26:09,LAX,0.75,5.0,0.0,0.1666666666666666,0.6,2024-11-30 02:26:00,375980
2024-11-30,02:59:35,ONT,1.5,2.5,0.4,0.1666666666666666,0.8,2024-11-30 02:59:00,376013
