Date of your flight (arrival or drop off),FlightTime,Airport,FlightRange,BagNumber,MaxSpendingRange,DropOffRange (miles),latitude,longitude
3/23/2024,12:05 PM,ONT,3.0,1,39,0.1,34.0555978,-117.60137102196373
12/14/2024,12:05 PM,ONT,2.0,2,39,0.4,34.0555978,-117.60137102196373
3/16/2024,12:05 AM,LAX,3.0,3,54,0.4,33.94216754999999,-118.42135906141587
12/2/2024,12:04 AM,ONT,1.0,3,58,0.4,34.0555978,-117.60137102196373
1/18/2025,12:00 PM,LAX,1.0,3,45,0.0,33.94216754999999,-118.42135906141587
1/19/2025,12:00 PM,LAX,0.25,1,37,0.1,33.94216754999999,-118.42135906141587
1/19/2025,12:00 PM,LAX,1.0,2,28,0.3,33.94216754999999,-118.42135906141587
1/21/2025,12:00 PM,LAX,4.0,1,49,0.0,33.94216754999999,-118.42135906141587
1/20/2025,12:00 PM,ONT,3.0,1,26,0.6,34.0555978,-117.60137102196373
12/1/2024,12:00 PM,ONT,2.0,4,26,0.4,34.0555978,-117.60137102196373
1/18/2025,11:59 PM,ONT,2.0,2,21,0.3,34.0555978,-117.60137102196373
1/20/2025,11:58 AM,ONT,1.0,1,32,0.0,34.0555978,-117.60137102196373
12/13/2024,11:56 PM,LAX,1.0,4,35,0.9,33.94216754999999,-118.42135906141587
3/17/2024,11:55 PM,LAX,0.5,3,31,0.6,33.94216754999999,-118.42135906141587
3/13/2024,11:55 AM,LAX,3.0,4,23,0.7,33.94216754999999,-118.42135906141587
12/1/24,11:50 PM,ONT,3.0,2,30,0.4,34.0555978,-117.60137102196373
3/14/2024,11:50 AM,ONT,2.0,2,32,0.9,34.0555978,-117.60137102196373
3/19/2024,11:50 AM,ONT,2.0,5,28,0.6,34.0555978,-117.60137102196373
3/13/2024,11:50 AM,LAX,0.25,1,31,0.7,33.94216754999999,-118.42135906141587
12/1/2024,11:45 AM,ONT,2.0,4,22,0.0,34.0555978,-117.60137102196373
1/18/2025,11:40 PM,ONT,1.0,2,52,0.3,34.0555978,-117.60137102196373
1/18/2025,11:40 PM,ONT,2.0,3,47,0.5,34.0555978,-117.60137102196373
1/19/2025,11:30 PM,LAX,1.0,1,44,0.4,33.94216754999999,-118.42135906141587
1/18/2025,11:30 AM,LAX,3.0,1,26,0.1,33.94216754999999,-118.42135906141587
1/19/2025,11:30 AM,LAX,4.0,1,50,0.8,33.94216754999999,-118.42135906141587
1/20/2025,11:30 AM,LAX,1.0,1,40,0.4,33.94216754999999,-118.42135906141587
1/20/2025,11:30 AM,ONT,2.0,3,35,0.2,34.0555978,-117.60137102196373
3/15/2024,11:30 AM,ONT,3.0,3,25,0.2,34.0555978,-117.60137102196373
1/19/2025,11:30 AM,ONT,3.0,2,49,0.2,34.0555978,-117.60137102196373
12/10/2024,11:30 AM,LAX,0.5,2,57,0.0,33.94216754999999,-118.42135906141587
12/12/2024,11:30 AM,LAX,0.5,2,38,0.5,33.94216754999999,-118.42135906141587
12/12/2024,11:25 AM,ONT,3.0,2,48,0.4,34.0555978,-117.60137102196373
3/14/2024,11:20 PM,LAX,0.5,4,36,0.6,33.94216754999999,-118.42135906141587
1/20/2025,11:20 AM,LAX,0.25,1,53,0.4,33.94216754999999,-118.42135906141587
1/20/2025,11:20 AM,ONT,1.0,1,36,0.5,34.0555978,-117.60137102196373
11/30/24,11:15 PM,ONT,0.5,4,59,0.5,34.0555978,-117.60137102196373
1/20/2025,11:15 AM,LAX,3.0,2,35,0.1,33.94216754999999,-118.42135906141587
1/20/0025,11:10 AM,LAX,4.0,2,36,0.1,33.94216754999999,-118.42135906141587
1/19/2025,11:05 AM,ONT,1.0,1,47,0.2,34.0555978,-117.60137102196373
12/13/0024,11:02 PM,LAX,0.25,1,31,0.9,33.94216754999999,-118.42135906141587
1/18/2025,11:00 PM,ONT,3.0,1,52,0.6,34.0555978,-117.60137102196373
12/14/2024,11:00 PM,LAX,3.0,1,37,0.9,33.94216754999999,-118.42135906141587
11/30/2024,11:00 PM,ONT,2.0,5,51,0.7,34.0555978,-117.60137102196373
12/1/2024,11:00 PM,ONT,3.0,2,30,0.3,34.0555978,-117.60137102196373
1/18/2025,11:00 AM,LAX,3.0,2,48,0.6,33.94216754999999,-118.42135906141587
1/19/2025,11:00 AM,LAX,3.0,1,35,0.0,33.94216754999999,-118.42135906141587
1/19/2025,11:00 AM,LAX,1.0,2,20,0.0,33.94216754999999,-118.42135906141587
1/20/2025,11:00 AM,LAX,0.5,1,39,0.5,33.94216754999999,-118.42135906141587
3/22/2024,11:00 AM,ONT,2.0,3,55,0.9,34.0555978,-117.60137102196373
1/20/2025,11:00 AM,LAX,0.5,2,32,0.9,33.94216754999999,-118.42135906141587
1/19/2025,11:00 AM,ONT,2.0,3,46,0.5,34.0555978,-117.60137102196373
12/13/2024,11:00 AM,ONT,4.0,2,38,0.1,34.0555978,-117.60137102196373
12/15/2024,11:00 AM,LAX,1.0,1,46,0.9,33.94216754999999,-118.42135906141587
12/13/2024,11:00 AM,LAX,0.5,2,38,0.2,33.94216754999999,-118.42135906141587
12/1/2024,10:48 PM,ONT,1.0,5,45,0.2,34.0555978,-117.60137102196373
12/13/0024,10:48 AM,ONT,1.0,2,43,0.0,34.0555978,-117.60137102196373
1/18/2025,10:45 PM,LAX,0.5,1,52,0.1,33.94216754999999,-118.42135906141587
1/19/2025,10:45 PM,ONT,0.5,2,59,0.6,34.0555978,-117.60137102196373
12/13/2024,10:45 PM,ONT,1.0,3,20,0.9,34.0555978,-117.60137102196373
12/12/2024,10:45 PM,LAX,1.0,1,58,0.7,33.94216754999999,-118.42135906141587
12/11/2024,10:45 PM,ONT,1.0,2,23,0.1,34.0555978,-117.60137102196373
1/20/2025,10:45 AM,ONT,2.0,1,47,0.2,34.0555978,-117.60137102196373
'3/22/2024,10:40 PM,LAX,0.25,3,46,0.6,33.94216754999999,-118.42135906141587
1/20/2025,10:40 PM,ONT,0.5,1,27,0.1,34.0555978,-117.60137102196373
1/18/2025,10:40 AM,LAX,1.0,1,50,0.6,33.94216754999999,-118.42135906141587
12/1/2024,10:40 AM,ONT,0.5,5,31,0.1,34.0555978,-117.60137102196373
1/19/2025,10:38 AM,ONT,1.0,1,38,0.9,34.0555978,-117.60137102196373
1/19/2025,10:38 AM,ONT,0.5,4,30,0.8,34.0555978,-117.60137102196373
12/2/2024,10:38 AM,ONT,3.0,4,38,0.3,34.0555978,-117.60137102196373
12/14/2024,10:35 AM,ONT,0.25,1,33,0.7,34.0555978,-117.60137102196373
12/12/2024,10:35 AM,LAX,4.0,2,52,0.2,33.94216754999999,-118.42135906141587
1/19/2025,10:34 AM,ONT,0.5,2,43,0.0,34.0555978,-117.60137102196373
1/19/2024,10:32 PM,ONT,3.0,2,57,0.7,34.0555978,-117.60137102196373
1/19/2025,10:32 PM,ONT,0.25,2,40,0.3,34.0555978,-117.60137102196373
1/20/2025,10:32 PM,ONT,0.25,2,33,0.0,34.0555978,-117.60137102196373
1/19/2025,10:30 PM,LAX,0.5,2,39,0.7,33.94216754999999,-118.42135906141587
1/19/2024,10:30 PM,ONT,0.5,1,44,0.9,34.0555978,-117.60137102196373
1/19/2025,10:30 PM,ONT,0.5,1,59,0.8,34.0555978,-117.60137102196373
3/12/2024,10:30 PM,LAX,2.0,5,25,0.6,33.94216754999999,-118.42135906141587
1/18/2025,10:30 AM,LAX,0.5,1,53,0.1,33.94216754999999,-118.42135906141587
1/18/2025,10:30 AM,LAX,0.5,2,48,0.6,33.94216754999999,-118.42135906141587
1/20/2025,10:30 AM,ONT,0.5,0,45,0.5,34.0555978,-117.60137102196373
1/20/2025,10:30 AM,LAX,0.5,1,40,0.2,33.94216754999999,-118.42135906141587
1/20/2025,10:30 AM,ONT,0.25,1,41,0.7,34.0555978,-117.60137102196373
3/22/2024,10:30 AM,LAX,0.5,5,53,0.8,33.94216754999999,-118.42135906141587
1/19/2025,10:30 AM,ONT,1.0,2,42,0.6,34.0555978,-117.60137102196373
12/14/2024,10:30 AM,ONT,3.0,1,31,0.1,34.0555978,-117.60137102196373
1/20/2025,10:25 AM,ONT,2.0,1,45,0.5,34.0555978,-117.60137102196373
1/20/2025,10:25 AM,ONT,1.0,2,55,0.6,34.0555978,-117.60137102196373
11/30/2024,10:23 PM,ONT,2.0,3,26,0.3,34.0555978,-117.60137102196373
1/20/2025,10:20 PM,LAX,1.0,2,24,0.7,33.94216754999999,-118.42135906141587
3/12/2024,10:20 PM,LAX,3.0,2,32,0.6,33.94216754999999,-118.42135906141587
1/18/2025,10:20 AM,ONT,3.0,1,59,0.4,34.0555978,-117.60137102196373
12/12/0024,10:20 AM,LAX,1.0,2,30,0.4,33.94216754999999,-118.42135906141587
1/19/2025,10:15 AM,LAX,0.5,1,58,0.3,33.94216754999999,-118.42135906141587
1/19/2025,10:13 PM,ONT,2.0,1,45,0.5,34.0555978,-117.60137102196373
1/18/2025,10:10 PM,ONT,0.5,2,20,0.0,34.0555978,-117.60137102196373
1/19/2025,10:10 AM,ONT,3.0,3,52,0.3,34.0555978,-117.60137102196373
12/11/2024,10:10 AM,ONT,0.5,1,23,0.2,34.0555978,-117.60137102196373
1/19/2025,10:00 PM,ONT,1.0,2,58,0.4,34.0555978,-117.60137102196373
3/20/2024,10:00 PM,ONT,1.0,4,39,0.0,34.0555978,-117.60137102196373
1/19/2025,10:00 PM,ONT,1.0,1,40,0.8,34.0555978,-117.60137102196373
1/19/2025,10:00 AM,LAX,4.0,3,46,0.4,33.94216754999999,-118.42135906141587
1/20/2025,10:00 AM,LAX,0.25,2,46,0.7,33.94216754999999,-118.42135906141587
3/22/2024,10:00 AM,LAX,1.0,4,41,0.5,33.94216754999999,-118.42135906141587
1/17/2025,10:00 AM,SNA,2.0,2,40,0.8,33.6742048,-117.86802428008934
12/14/2024,10:00 AM,ONT,3.0,2,21,0.7,34.0555978,-117.60137102196373
1/20/2025,09:58 AM,ONT,0.25,1,44,0.8,34.0555978,-117.60137102196373
1/16/2025,09:57 PM,ONT,2.0,1,33,0.5,34.0555978,-117.60137102196373
12/14/2024,09:53 AM,ONT,2.0,1,56,0.0,34.0555978,-117.60137102196373
12/14/0024,09:53 AM,ONT,3.0,1,45,0.7,34.0555978,-117.60137102196373
12/14/2024,09:53 AM,ONT,0.5,2,25,0.4,34.0555978,-117.60137102196373
1/19/2025,09:50 PM,ONT,1.0,2,28,0.7,34.0555978,-117.60137102196373
1/18/2025,09:40 PM,ONT,2.0,1,44,0.3,34.0555978,-117.60137102196373
1/15/2025,09:37 PM,ONT,1.0,1,40,0.1,34.0555978,-117.60137102196373
1/18/2025,09:30 PM,LAX,2.0,1,32,0.2,33.94216754999999,-118.42135906141587
1/19/2025,09:30 PM,LAX,0.5,2,24,0.7,33.94216754999999,-118.42135906141587
12/14/2024,09:30 PM,LAX,0.5,2,55,0.3,33.94216754999999,-118.42135906141587
3/14/2024,09:30 AM,ONT,3.0,5,57,0.1,34.0555978,-117.60137102196373
12/14/2024,09:30 AM,ONT,1.0,1,57,0.1,34.0555978,-117.60137102196373
12/13/2024,09:23 PM,ONT,0.25,1,21,0.6,34.0555978,-117.60137102196373
1/19/2025,09:20 AM,ONT,1.0,1,54,0.2,34.0555978,-117.60137102196373
1/19/2025,09:20 AM,ONT,2.0,1,57,0.8,34.0555978,-117.60137102196373
1/18/2025,09:15 PM,ONT,3.0,1,27,0.1,34.0555978,-117.60137102196373
3/23/2024,09:15 PM,ONT,1.0,1,42,0.3,34.0555978,-117.60137102196373
11/30/2024,09:15 AM,ONT,3.0,3,30,0.8,34.0555978,-117.60137102196373
3/14/2024,09:10 PM,LAX,2.0,2,23,0.7,33.94216754999999,-118.42135906141587
12/1/2024,09:05 PM,ONT,0.5,2,39,0.5,34.0555978,-117.60137102196373
12/1/24,09:05 PM,ONT,1.0,2,59,0.5,34.0555978,-117.60137102196373
1/19/2025,09:00 PM,LAX,0.5,2,42,0.2,33.94216754999999,-118.42135906141587
3/13/2024,09:00 PM,LAX,1.0,3,39,0.7,33.94216754999999,-118.42135906141587
12/13/2024,09:00 PM,ONT,3.0,2,59,0.1,34.0555978,-117.60137102196373
12/13/2024,09:00 PM,ONT,0.5,2,44,0.9,34.0555978,-117.60137102196373
12/13/2024,09:00 PM,LAX,0.25,1,28,0.9,33.94216754999999,-118.42135906141587
1/19/2025,09:00 AM,LAX,0.5,1,44,0.8,33.94216754999999,-118.42135906141587
1/17/2025,08:58 AM,LAX,0.25,2,33,0.3,33.94216754999999,-118.42135906141587
12/12/2024,08:56 AM,ONT,0.5,0,25,0.6,34.0555978,-117.60137102196373
3/15/2024,08:50 AM,ONT,2.0,3,46,0.4,34.0555978,-117.60137102196373
12/13/2024,08:45 PM,ONT,3.0,1,55,0.2,34.0555978,-117.60137102196373
12/14/2024,08:45 AM,ONT,0.5,2,22,0.7,34.0555978,-117.60137102196373
1/20/2025,08:35 PM,LAX,1.0,1,58,0.8,33.94216754999999,-118.42135906141587
1/18/2025,08:30 PM,LAX,1.0,3,24,0.4,33.94216754999999,-118.42135906141587
1/19/2025,08:30 PM,LAX,2.0,2,28,0.7,33.94216754999999,-118.42135906141587
1/19/2025,08:30 PM,LAX,3.0,1,29,0.2,33.94216754999999,-118.42135906141587
1/18/2025,08:30 PM,LAX,3.0,3,33,0.2,33.94216754999999,-118.42135906141587
3/15/2024,08:30 AM,ONT,0.5,1,27,0.3,34.0555978,-117.60137102196373
3/14/2024,08:26 AM,ONT,3.0,4,55,0.2,34.0555978,-117.60137102196373
3/16/2024,08:26 AM,ONT,2.0,1,23,0.3,34.0555978,-117.60137102196373
1/18/2025,08:15 PM,ONT,1.0,2,36,0.3,34.0555978,-117.60137102196373
1/18/2025,08:15 PM,ONT,1.0,4,38,0.9,34.0555978,-117.60137102196373
1/18/2025,08:15 PM,ONT,4.0,1,22,0.4,34.0555978,-117.60137102196373
12/13/2024,08:15 PM,LAX,0.5,2,51,0.7,33.94216754999999,-118.42135906141587
11/30/2024,08:12 PM,ONT,0.5,1,23,0.0,34.0555978,-117.60137102196373
1/18/2025,08:10 PM,LAX,0.5,1,53,0.5,33.94216754999999,-118.42135906141587
11/30/2024,08:10 PM,LAX,4.0,3,31,0.1,33.94216754999999,-118.42135906141587
1/19/2025,08:02 AM,ONT,0.5,0,53,0.0,34.0555978,-117.60137102196373
1/18/2025,08:00 PM,ONT,3.0,2,53,0.1,34.0555978,-117.60137102196373
1/18/2025,08:00 PM,ONT,3.0,3,52,0.7,34.0555978,-117.60137102196373
1/18/2025,08:00 PM,ONT,2.0,3,41,0.0,34.0555978,-117.60137102196373
3/13/2024,08:00 PM,LAX,1.0,2,29,0.4,33.94216754999999,-118.42135906141587
3/13/2024,08:00 PM,LAX,2.0,2,38,0.9,33.94216754999999,-118.42135906141587
1/18/2025,08:00 AM,LAX,0.5,2,39,0.8,33.94216754999999,-118.42135906141587
1/18/2025,08:00 AM,LAX,4.0,2,40,0.7,33.94216754999999,-118.42135906141587
12/13/2024,08:00 AM,LAX,3.0,2,54,0.7,33.94216754999999,-118.42135906141587
3/12/24,07:55 PM,LAX,3.0,2,32,0.5,33.94216754999999,-118.42135906141587
12/1/2024,07:50 AM,ONT,4.0,1,21,0.3,34.0555978,-117.60137102196373
12/14/2024,07:45 AM,ONT,3.0,2,25,0.3,34.0555978,-117.60137102196373
12/14/2024,07:45 AM,ONT,0.5,1,29,0.9,34.0555978,-117.60137102196373
12/14/2024,07:45 AM,ONT,2.0,2,54,0.2,34.0555978,-117.60137102196373
12/13/2024,07:44 PM,ONT,1.0,2,46,0.0,34.0555978,-117.60137102196373
3/22/2024,07:40 PM,LAX,4.0,4,25,0.7,33.94216754999999,-118.42135906141587
3/12/2024,07:35 PM,ONT,2.0,1,58,0.2,34.0555978,-117.60137102196373
12/12/2024,07:35 PM,ONT,1.0,1,32,0.2,34.0555978,-117.60137102196373
12/12/2024,07:35 PM,ONT,1.0,2,55,0.4,34.0555978,-117.60137102196373
12/11/2024,07:35 AM,ONT,0.25,1,30,0.0,34.0555978,-117.60137102196373
12/2/2024,07:35 AM,ONT,3.0,2,30,0.3,34.0555978,-117.60137102196373
1/18/2025,07:30 PM,LAX,0.5,1,41,0.2,33.94216754999999,-118.42135906141587
1/20/2025,07:30 PM,ONT,1.0,1,45,0.2,34.0555978,-117.60137102196373
1/20/2025,07:30 PM,ONT,1.0,2,28,0.6,34.0555978,-117.60137102196373
3/14/2024,07:30 PM,ONT,2.0,3,45,0.3,34.0555978,-117.60137102196373
1/18/2025,07:30 PM,ONT,3.0,1,41,0.4,34.0555978,-117.60137102196373
12/1/2024,07:30 PM,LAX,0.5,1,53,0.7,33.94216754999999,-118.42135906141587
1/19/2025,07:30 AM,LAX,0.5,1,55,0.5,33.94216754999999,-118.42135906141587
1/20/2025,07:30 AM,LAX,0.5,2,47,0.2,33.94216754999999,-118.42135906141587
12/14/2024,07:30 AM,LAX,2.0,2,45,0.9,33.94216754999999,-118.42135906141587
3/20/2024,07:27 PM,LAX,1.0,2,38,0.2,33.94216754999999,-118.42135906141587
10/15/2024,07:20 PM,ONT,1.0,2,42,0.4,34.0555978,-117.60137102196373
12/14/2024,07:16 AM,ONT,2.0,4,46,0.7,34.0555978,-117.60137102196373
10/15/2024,07:15 PM,ONT,2.0,3,59,0.3,34.0555978,-117.60137102196373
1/18/2025,07:15 AM,LAX,0.5,1,41,0.9,33.94216754999999,-118.42135906141587
3/13/2024,07:10 PM,ONT,0.5,2,40,0.7,34.0555978,-117.60137102196373
3/14/2024,07:10 PM,ONT,1.0,2,36,0.7,34.0555978,-117.60137102196373
10/15/2024,07:10 PM,ONT,4.0,3,48,0.6,34.0555978,-117.60137102196373
12/2/2024,07:02 PM,LAX,0.25,2,49,0.3,33.94216754999999,-118.42135906141587
3/18/2024,07:01 PM,ONT,0.5,2,46,0.7,34.0555978,-117.60137102196373
1/18/2025,07:00 PM,LAX,1.0,1,33,0.2,33.94216754999999,-118.42135906141587
1/19/2025,07:00 PM,LAX,3.0,1,57,0.3,33.94216754999999,-118.42135906141587
3/13/2024,07:00 PM,ONT,1.0,5,48,0.2,34.0555978,-117.60137102196373
3/13/2024,07:00 PM,LAX,2.0,3,43,0.2,33.94216754999999,-118.42135906141587
1/19/2025,07:00 PM,ONT,1.0,1,34,0.2,34.0555978,-117.60137102196373
1/20/2025,07:00 PM,ONT,3.0,2,44,0.7,34.0555978,-117.60137102196373
1/20/2025,07:00 AM,LAX,0.5,1,33,0.7,33.94216754999999,-118.42135906141587
3/14/2024,07:00 AM,ONT,1.0,3,27,0.5,34.0555978,-117.60137102196373
12/14/0024,07:00 AM,SNA,2.0,2,38,0.4,33.6742048,-117.86802428008934
12/14/2024,07:00 AM,ONT,2.0,2,53,0.0,34.0555978,-117.60137102196373
12/14/2024,07:00 AM,ONT,3.0,1,44,0.3,34.0555978,-117.60137102196373
3/13/2024,06:55 PM,LAX,3.0,3,26,0.6,33.94216754999999,-118.42135906141587
1/18/2025,06:45 PM,LAX,2.0,1,28,0.1,33.94216754999999,-118.42135906141587
1/20/2025,06:45 PM,LAX,2.0,2,41,0.5,33.94216754999999,-118.42135906141587
1/20/2025,06:45 PM,LAX,0.25,2,42,0.9,33.94216754999999,-118.42135906141587
1/20/2025,06:45 PM,LAX,1.0,2,28,0.3,33.94216754999999,-118.42135906141587
1/18/2025,06:45 PM,ONT,0.5,1,50,0.8,34.0555978,-117.60137102196373
3/15/2024,06:45 PM,ONT,3.0,3,27,0.1,34.0555978,-117.60137102196373
12/20/2024,06:40 PM,ONT,1.0,1,24,0.4,34.0555978,-117.60137102196373
11/30/24,06:33 PM,ONT,1.0,5,30,0.0,34.0555978,-117.60137102196373
1/19/2025,06:30 PM,LAX,0.5,1,48,0.6,33.94216754999999,-118.42135906141587
1/19/2025,06:30 PM,LAX,1.0,1,49,0.3,33.94216754999999,-118.42135906141587
1/18/2024,06:30 PM,ONT,0.25,2,52,0.8,34.0555978,-117.60137102196373
1/19/2025,06:30 PM,ONT,3.0,2,36,0.2,34.0555978,-117.60137102196373
1/19/2025,06:30 PM,ONT,0.5,1,22,0.1,34.0555978,-117.60137102196373
12/1/2024,06:29 PM,ONT,2.0,4,47,0.4,34.0555978,-117.60137102196373
1/20/2025,06:24 PM,ONT,0.25,1,22,0.3,34.0555978,-117.60137102196373
12/13/2024,06:22 PM,LAX,0.5,1,34,0.3,33.94216754999999,-118.42135906141587
1/20/2025,06:20 PM,LAX,0.25,1,28,0.6,33.94216754999999,-118.42135906141587
1/18/2025,06:15 PM,LAX,1.0,1,50,0.6,33.94216754999999,-118.42135906141587
1/21/2024,06:13 PM,ONT,1.0,3,54,0.7,34.0555978,-117.60137102196373
1/16/2025,06:13 PM,ONT,0.25,1,57,0.2,34.0555978,-117.60137102196373
1/20/2025,06:13 PM,ONT,2.0,1,52,0.3,34.0555978,-117.60137102196373
1/20/2025,06:13 PM,ONT,0.25,2,31,0.6,34.0555978,-117.60137102196373
1/18/2025,06:10 PM,LAX,1.0,1,25,0.7,33.94216754999999,-118.42135906141587
12/13/2024,06:10 PM,ONT,1.0,2,49,0.4,34.0555978,-117.60137102196373
12/13/2024,06:10 PM,ONT,0.5,1,24,0.7,34.0555978,-117.60137102196373
1/18/2025,06:00 PM,LAX,3.0,2,32,0.2,33.94216754999999,-118.42135906141587
3/13/2024,06:00 PM,LAX,0.25,3,51,0.7,33.94216754999999,-118.42135906141587
10/15/2024,06:00 PM,LAX,3.0,1,40,0.6,33.94216754999999,-118.42135906141587
3/18/2024,06:00 AM,ONT,1.0,1,47,0.7,34.0555978,-117.60137102196373
1/20/2025,06:00 AM,LAX,1.0,1,48,0.5,33.94216754999999,-118.42135906141587
12/11/2024,06:00 AM,ONT,1.0,2,25,0.6,34.0555978,-117.60137102196373
12/12/2024,06:00 AM,ONT,1.0,1,46,0.8,34.0555978,-117.60137102196373
12/12/2024,06:00 AM,ONT,2.0,3,41,0.8,34.0555978,-117.60137102196373
1/18/2024,05:59 PM,ONT,2.0,1,38,0.1,34.0555978,-117.60137102196373
3/14/2024,05:55 PM,LAX,1.0,3,47,0.6,33.94216754999999,-118.42135906141587
1/19/2025,05:50 PM,ONT,0.5,2,49,0.7,34.0555978,-117.60137102196373
12/13/2024,05:50 PM,ONT,0.25,1,46,0.1,34.0555978,-117.60137102196373
12/13/2024,05:50 AM,LAX,0.5,1,20,0.2,33.94216754999999,-118.42135906141587
12/13/0024,05:45 AM,ONT,3.0,4,40,0.7,34.0555978,-117.60137102196373
12/1/2024,05:43 PM,ONT,0.25,1,31,0.9,34.0555978,-117.60137102196373
1/19/2025,05:30 PM,LAX,1.0,1,21,0.4,33.94216754999999,-118.42135906141587
1/19/2025,05:30 PM,LAX,1.0,2,56,0.5,33.94216754999999,-118.42135906141587
1/20/2025,05:30 PM,LAX,0.5,1,44,0.1,33.94216754999999,-118.42135906141587
1/18/2025,05:30 PM,ONT,2.0,2,40,0.5,34.0555978,-117.60137102196373
1/18/2025,05:30 PM,ONT,2.0,2,22,0.0,34.0555978,-117.60137102196373
12/13/0024,05:30 PM,ONT,2.0,2,31,0.8,34.0555978,-117.60137102196373
12/13/2024,05:30 PM,LAX,0.5,2,47,0.8,33.94216754999999,-118.42135906141587
1/20/2025,05:30 AM,LAX,0.5,1,20,0.5,33.94216754999999,-118.42135906141587
1/20/2025,05:25 PM,ONT,0.5,2,23,0.3,34.0555978,-117.60137102196373
1/18/2025,05:20 PM,ONT,1.0,3,37,0.8,34.0555978,-117.60137102196373
1/12/2025,05:20 PM,ONT,0.5,3,58,0.5,34.0555978,-117.60137102196373
1/20/2025,05:20 PM,ONT,4.0,2,34,0.4,34.0555978,-117.60137102196373
3/13/2024,05:10 PM,LAX,2.0,2,57,0.4,33.94216754999999,-118.42135906141587
1/19/2025,05:10 PM,ONT,3.0,2,43,0.6,34.0555978,-117.60137102196373
